participant_id;first_name;last_name;birth_date;address;phone_number;country;institute;occupation;register_time
bd9b6f88-b84f-4c4d-90f8-b67fe2f1a29a;Citra;Nurdiyanti;05 Feb 1991;Gg. Monginsidi No. 08\nMedan, Aceh 80734;(0151) 081 2706;Georgia;UD Prakasa Mandasari;Business Intelligence Engineer;1617634046.0
7dfe3391-6f40-47b6-b4db-0c76ebaf5fc3;Aris;Setiawan;11 Jan 1993;Gg. Rajawali Timur No. 7\nPrabumulih, MA 09434;+62 (036) 461 7027;Korea Utara;Universitas Diponegoro;Frontend Engineer;1617633992.0
19582d7f-b824-4fe5-a517-d5bf573fc768;Cornelia;Handayani;31 Jul 1993;Jalan Kebonjati No. 0\nAmbon, SS 57739;089 833 6695;Komoro;UD Hardiansyah Puspasari;Business Analyst;1617633992.0
aeb6d817-25f3-4867-8a74-8d92e0a0f633;Soleh;Rajasa;04 Nov 1991;Jl. Yos Sudarso No. 109\nLubuklinggau, SR 76156;+62 (418) 329-4756;Eritrea;Perum Tampubolon Yuliarti;DevOps Engineer;1617633992.0
f1e8749d-6dec-4ede-be25-efb31ce80f99;Bahuraksa;Mangunsong;13 Nov 1997;Jl. Pacuan Kuda No. 58\nDenpasar, Aceh 00880;+62 (11) 369-7082;Zambia;CV Mardhiyah Haryanto;Business Analyst;1617633992.0
707219fa-cb0b-467c-ad32-e99c61603020;Tiara;Maryati;10 Mar 1994;Gg. Cihampelas No. 4\nSamarinda, KT 48108;(0244) 430 7220;Libya;UD Irawan Wahyuni;Product Analyst;1617633992.0
bc4e9cc3-f49b-40a2-905c-3e9dcf3af958;Dimaz;Gunarto;16 Feb 2000;Gg. Sukabumi No. 7\nParepare, Bali 64255;+62 (056) 931-9059;Republik Demokratik Kongo;Perum Purnawati;Data Scientist;1617633992.0
7ca0a2e8-bab0-42a3-b6aa-ef4df35c7800;Zizi;Puspasari;11 Apr 2002;Gg. Peta No. 01\nMedan, BE 89056;+62 (11) 826-1289;Gambia;Universitas Bhayangkara Surabaya;Data Analyst;1617633992.0
ae29b7cb-837c-4f78-957a-f8f7dcd3d6f0;Vanya;Yuliarti;09 Apr 1998;Gang Laswi No. 34\nKediri, Sulawesi Barat 18717;+62 (004) 561 6831;Finlandia;Universitas Janabadra;Flutter Engineer;1617633992.0
f6abbf84-2979-4f07-ac18-f4028bf009ac;Yahya;Damanik;30 Jun 1993;Gang HOS. Cokroaminoto No. 74\nBau-Bau, MA 40721;+62-304-075-1010;Mali;PD Andriani Gunarto (Persero) Tbk;Data Scientist;1617633992.0
ff1228c9-cbb8-4c85-abd3-2200ee871599;Natalia;Hartati;03 Oct 1992;Jl. Sukajadi No. 387\nGorontalo, Aceh 40645;+62-766-738-4901;Ghana;Universitas Katolik Widya Manadala;Data Scientist;1617633992.0
5bb00c77-c91d-47bc-9dbc-996efcd5b76e;Maria;Utami;30 Oct 2002;Gg. Astana Anyar No. 06\nPagaralam, KT 46071;+62 (447) 608 1087;Botswana;Universitas Negeri Semarang;Business Intelligence Engineer;1617633992.0
407116ef-fb38-432f-b62e-d955d9ca1712;Saiful;Dongoran;01 Sep 1992;Jl. Cempaka No. 83\nTarakan, KU 31450;+62 (631) 363 8240;Sudan Selatan;Universitas Bung Hatta;Data Engineer;1617633992.0
17dd1666-818e-4681-bedd-b9f016096c74;Ani;Utami;06 Jan 1997;Gg. Rumah Sakit No. 49\nDepok, AC 30846;+62-783-529-5810;Indonesia;Universitas Muhammadiyah Makassar;Data Scientist;1617633992.0
